category_name,category_url,is_page_list
Bulbe de Tulipe simple hâtive,/c/bulbe-de-tulipe-simple-hative,True
Bulbe de Tulipe triomphe,/c/bulbe-de-tulipe-triomphe,True
Bulbe de Tulipe double hâtive,/c/bulbe-de-tulipe-double-hative,True
Bulbe de Tulipe simple tardive,/c/bulbe-de-tulipe-simple-tardive,True
Bulbe de Tulipe fleur de lis,/c/bulbe-de-tulipe-fleur-de-lis,True
Bulbe de Tulipe botanique - Tulipa,/c/bulbe-de-tulipe-botanique-tulipa,True
Bulbe de Tulipe perroquet,/c/bulbe-de-tulipe-perroquet,True
Bulbe de Crocus botanique,/c/bulbe-de-crocus-botanique,True
Bulbe de Canna haut,/c/bulbe-de-canna-haut,True
Bulbe d'Arum,/c/bulbe-d-arum,True
Bulbe forcé,/c/bulbe-force,False
Bulbe de Crocosmia,/c/bulbe-de-crocosmia,True
Bulbe d'Iris,/c/bulbe-d-iris,True
Graines de basilic,/c/graines-de-basilic,True
Graines de persil,/c/graines-de-persil,True
Graines de fleurs bisannuelles,/c/graines-de-fleurs-bisannuelles,True
Jacinthe précoce,/c/jacinthe-precoce,True
Bordure & sol extérieur,/c/bordure-et-sol-exterieur,False
"Spa, jacuzzi & piscine",/c/spa-jacuzzi-et-piscine,False
"Clôture, grillage & occultation",/c/cloture-grillage-et-occultation,False
"Barbecue, plancha & brasero",/c/barbecue-plancha-et-brasero,False
"Parasol, tonnelle & voile d'ombrage",/c/parasol-tonnelle-et-voile-d-ombrage,False
Jeu de plein air pour enfant,/c/jeu-de-plein-air-pour-enfant,False
Dalle de terrasse,/c/dalle-de-terrasse,False
Douche extérieure,/c/douche-exterieure,True
Portail & portillon,/c/portail-et-portillon,True
Housse de protection pour barbecue & plancha,/c/housse-de-protection-pour-barbecue-et-plancha,True
Store banne,/c/store-banne,True
Accessoires pour camping & pique-nique,/c/accessoires-pour-camping-et-pique-nique,True
Pavés et dalles en pierre,/c/paves-et-dalles-en-pierre,True
Dalle de terrasse clipsable,/c/dalle-de-terrasse-clipsable,True
Dalle de terrasse en bois,/c/dalle-de-terrasse-en-bois,True
Ballon & balle pour enfant,/c/ballon-et-balle-pour-enfant,True
Jouet d'extérieur pour enfant,/c/jouet-d-exterieur-pour-enfant,False
